bigg_id,chebi
trnaasn_m,29172
trnaasp_m,29186
trnaile_m,29174
trnaleu_m,29169
trnalys_m,29185
trnamet_m,29173
trnaphe_m,29184
trnatyr_m,29182
trnaval_m,29183
trp__L_m,9769
trptrna_m,6312
tyr__L_m,9800
tyr__L_v,9800
tyrtrna_m,6318
udpacgal_c,9820
udpgal_g,9811
val__L_m,87977
valtrna_m,6322
xylt_c,60939
xylt_e,60939
2ombz_c,28423
3mbdhl_c,8931
4izp_c,77893
Stmyn_c,9284
acmama_c,84933
alpro_c,8951
bgly_c,606565
cpppg1_c,62631
dhlpro_c,4570
fdxox_c,7836
fdxrd_c,8792
forglu_c,7274
hepdp_c,58206
lac6p_c,79080
lpro_c,6500
male_c,6653
nop_c,7620
octp_c,67037
pime_c,44980
salcn6p_c,9003
salcn_e,26591
udcp_c,15283
uppg1_c,28766
urcan_c,27248
pep_p,8147
3pg_e,58272
3pg_p,58272
feroxB_e,5044
feroxE_e,60261
scys__L_c,22075
pep_e,8147
tag__D_e,16443
rnam_p,7337
2pg_p,88350
guln__L_p,21318
guln__L_e,21318
icit_p,5998
icit_e,5998
2pg_e,88350
oaa_p,7812
tag__D_p,16443
rnam_e,7337
copre2_c,60053
diact_e,4479
5aptn_c,12111
oxptn_c,16120
rbt_e,15963
cellb_e,36217
glutcoa_c,14326
salcn_c,26591
cellb_p,36217
3hoxpac_e,20076
peng_e,7962
peng_p,7962
3hoxpac_p,20076
6apa_e,12207
6apa_p,12207
salcn_p,26591
cellb_c,36217
arab__D_p,46994
nicrns_c,58527
3hmp_c,18064
5mthf_m,2097
ahcys_n,8945
amuco_c,16886
dhor__S_n,42132
f6p_B_c,16084
3hacoa_x,11046
acoa_x,4987
lald__L_m,6349
cdpglc_c,3271
stys_c,9248
dhmtp_c,58795
tdp_c,61417
hkmpp_c,58829
5cmhm_c,10741
5cohe_c,47961
2ohed_c,1254
3hoxpac_c,20076
1pipdn2c_c,77631
6p2dhglcn_c,2229
2dhglcn_p,59504
2dhglcn_e,59504
R_3hddcoa_c,74276
3mbzalc_c,20123
3oxoadp_c,11870
3oxoadp_e,11870
3oxoadp_p,11870
coucoa_c,85531
5odhf2a_c,11871
4mbzald_c,28617
4mbzalc_c,25828
4mcat_c,12025
2omcm_c,1243
2hmc_c,12038
2mb2coa_c,11614
2mp2coa_c,1208
C04051_c,20544
5apentam_c,12110
nh3_c,13407
5g2oxpt_c,1249
dmgly_c,17724
bz12diol_c,18340
bzal_c,22697
34dhbald_c,50205
ccmuac_c,36501
conialdh_c,16547
fer_c,14259
co2dam_c,23331
4hbald_c,17597
ficytc_c,8789
co1dam_c,28531
cala_c,11892
dhbpt_c,20680
dna5mtc_c,17493
fer_e,14259
m_xyl_e,25100
p_xyl_e,45248
tol_e,17578
vanln_e,48387
vanlt_e,9933
cytcc_c,4056
ferulcoa_c,15511
vanln_c,48387
fer_p,14259
Nforglu_c,21710
S_gtrdhdlp_c,22047
glutrna_gln_c,13345
2maacoa_c,19687
m_xyl_c,25100
m_xyl_p,25100
nfmalm_c,59930
omaenol_c,1792
pre3b_c,14872
pre3a_c,58561
p_xyl_c,45248
p_xyl_p,45248
seasmet_c,9066
selmeth_c,47569
tol_p,17578
tol_c,17578
vanlt_c,9933
vanlt_p,9933
vanln_p,48387
pime_e,44980
4hglusa_c,62637
acryl_c,19766
focytcc553_c,5040
mycolate_c,25438
sl1_c,26828
tres_c,60091
decda_tb_c,65066
dtt_c,42102
qh2_c,15278
peamn_c,8063
phthiocerol_c,59240
uaGgla_c,13386
uGgla_c,13494
uaAgla_c,21616
PIM2_c,68562
uaagtmda_c,22688
uaaAgtla_c,28267
adfdRD_c,16906
coa_e,741566
bmn_e,62828
2dglcn_c,11564
copre8_c,70792
cobya_c,58894
copre4_c,3792
bmn_c,62828
m1ocdca_c,69188
4h3npacald_p,71287
4hoxpacd_c,20417
4h3npacald_c,71287
hphaccoa_c,28773
ppoh_c,8472
rbt_c,15963
d5kgp_c,27685
im4ac_c,12017
im4act_c,5874
fuc1p__L_c,12212
fuc1p__L_e,12212
nad_e,7422
pa_EC_c,57739
pgp_EC_c,60110
diact_c,4479
malon_c,14563
mtpp_c,1438
Pald_c,26070
codscl5a_c,52488
codscl7_c,70791
codscl8x_c,3795
thrp_c,58675
cdpabeq_c,57619
feroxB_c,5044
feroxE_c,60261
feroxE_p,60261
feroxB_p,5044
guln__L_c,21318
3opimcoa_c,15492
4hbutcoa_c,28522
4hglu_c,32811
5mcsn_c,2094
6hch1eccoa_c,57361
6occhcoa_c,2206
Lcyst_c,44708
Ncbmpts_c,12497
acetone_c,2398
benzcoa_c,15515
butpi_c,22952
ch15deccoa_c,14049
citac_c,17626
citm_c,3725
cspmd_c,65072
dptne_c,4648
ficytC_c,5038
ficytb_c,5022
focytC_c,8789
fut_c,51310
laccoa_c,57382
n2_c,14660
phenol_c,50526
polglu_c,8296
pphos_c,37548
r3mmal_c,4271
udpxyl_c,57632
2obut_e,39748
4crsol_e,44726
4hbald_e,17597
Lcyst_e,44708
aso4_e,81880
bzal_e,22697
ibt_e,48944
mn4_e,25158
n2_e,14660
oxa_e,7811
phenol_e,50526
ppoh_e,8472
2obut_p,39748
4crsol_p,44726
4hbald_p,17597
Lcyst_p,44708
aso4_p,81880
bzal_p,22697
ibt_p,48944
n2_p,14660
oxa_p,7811
phenol_p,50526
ppoh_p,8472
h_u,5584
caro_c,40987
echin_c,4746
biliverd_c,41124
fdxo_2_2_c,17908
phdp_c,8197
cholphya_c,3631
h2o_u,5594
2m6phol_c,75920
lycop_c,15948
hmppp9_c,77664
photon_c,14383
bvite_c,22855
neuspn_c,25511
dmtphllqne_c,31087
cu2_u,49550
photon_e,14383
photon_p,14383
glcglyc_c,133635
glcglyc_p,133635
glcglyc_e,133635
1mpyr_c,647
2amac_c,1013
3hpcoa_c,58528
3spyr_c,16894
3uib_c,74414
48dhoxquin_c,28883
4tmeabutn_c,16244
56dthm_c,20510
5forthf_c,57456
5hxkynam_c,20589
acgal_c,7201
adhap_hs_c,22231
ak2g_hs_c,52595
ak2gchol_hs_c,36702
ak2lgchol_hs_c,11242
akdhap_hs_c,21941
asp__D_c,20919
cholate_c,16359
chsterol_c,23204
coumarin_c,41552
creat_c,3910
cysam_c,58029
dhdascb_c,14108
dheas_c,61003
ebastine_c,31528
estradiol_c,42475
estriol_c,42467
galt_c,53575
gam_c,58723
glcur1p_c,681
gpail_hs_c,53054
hista_c,14401
iodine_c,14461
leuktrC4_c,6422
limnen_c,18468
lnlc_c,6479
lnlccoa_c,6480
lnlnca_c,528881
lnlncacoa_c,74034
nifedipine_c,7565
nrpphr_c,72587
pa_hs_c,33848
pcollglys_c,18180
prgnlone_c,26241
q10_c,46245
q10h2_c,64183
selcyst_c,6297
selhcys_c,84850
tag__D_c,16443
taxol_c,45862
tdchola_c,3590
tmlys_c,12672
tolbutamide_c,27019
trypta_c,27161
txa2_c,9575
xu1p__D_c,6327
10fthf_e,15637
1mncam_e,646
35cgmp_e,57746
acetone_e,2398
adp_e,87518
adprib_e,57967
ak2lgchol_hs_e,11242
asp__D_e,20919
bvite_e,22855
caro_e,40987
cholate_e,16359
chsterol_e,23204
coumarin_e,41552
creat_e,3910
dhdascb_e,14108
dheas_e,61003
ebastine_e,31528
estradiol_e,42475
hista_e,14401
idp_e,5848
leuktrC4_e,6422
limnen_e,18468
lnlc_e,6479
lnlnca_e,528881
nifedipine_e,7565
nrpphr_e,72587
oh1_e,5594
sph1p_e,9222
taxol_e,45862
tdchola_e,3590
tolbutamide_e,27019
txa2_e,9575
udp_e,9802
utp_e,9850
ac_g,40486
camp_g,58165
chol_g,72322
cholp_g,44707
cmpacna_g,13276
gdpfuc_g,57984
man_g,4208
na1_g,9175
pap_g,58343
pe_hs_g,14803
uacgam_g,9823
udpglcur_g,9846
4abut_l,59888
ade_l,40579
adn_l,40911
ala__D_l,57416
cholp_l,44707
dad_2_l,4405
damp_l,58245
dcmp_l,57566
dgsn_l,4412
dhf_l,57451
