kegg_id,Keq,stdev,bigg_id
R00503,5.65E+01,1.69E-01,UGALGTg
R00505,1.44E-01,1.84E-02,UDPGALM
R00506,1.59E-43,2.54E-01,
R00507,4.80E+14,1.09E-02,PAPSSH
R00508,1.68E+02,9.67E-03,BPNT2
R00509,2.51E+02,9.67E-03,AASPm
R00510,1.55E+02,2.65E-02,
R00511,4.99E+02,1.13E-01,NTD4e
R00512,3.64E+00,9.64E-02,CYTK1m
R00513,8.46E+01,1.13E-01,CYTDK1
R00514,1.16E+04,9.64E-02,CDPPH
R00515,6.82E+05,1.56E-01,NTPP4
R00516,3.21E+01,8.89E-02,UTCY
R00517,3.08E+01,8.89E-02,CYTDK2
R00518,2.52E+01,2.87E-02,
R00519,2.95E+02,7.27E-02,FDH
R00521,2.32E+02,2.76E-02,FCOAH2
R00522,1.16E+03,3.11E-02,OXADC
R00524,3.44E+05,7.59E-03,FORAMD
R00525,6.82E+05,1.18E-02,NFORGLUAH
R00526,3.44E+05,1.09E-02,
R00527,2.95E+02,1.77E-02,SFGTHi
R00529,4.96E-09,3.95E-01,SADT
R00530,6.90E-11,3.95E-01,SLFAT
R00531,2.23E+14,3.65E-01,
R00533,1.30E+30,1.18E-02,SULO
R00548,8.04E+04,3.68E-04,ACP1_FMN
R00549,5.24E-01,3.68E-04,RBFK
R00550,1.01E-02,3.54E-04,
R00551,1.02E+05,6.46E-03,ARGNm
R00552,1.20E+06,6.70E-02,ARGDr
R00554,7.88E-02,6.42E-01,ARGKr
R00557,8.27E+220,5.55E-06,
R00559,3.04E+80,2.45E-03,
R00562,1.94E-06,9.64E-02,
R00563,4.90E-05,4.31E-03,NOPD
R00565,1.13E+00,9.64E-02,
R00566,4.25E+02,4.14E-03,ARGDCm
R00567,5.26E-02,7.90E-03,
R00568,2.40E+04,1.44E-01,DCTPD2
R00569,3.45E+04,1.63E-01,r0149
R00570,1.22E+00,1.56E-01,NDPK3
R00571,1.76E+00,1.44E-01,CTPS1
